Sequence_ID	MAG_ID	Habitat	Sample_group	Combined_score	IdrA_score	AioA_score	IdrA_minus_AioA	Combined_640_pass	HMM_direction	Tree_clade	Bootstrap_support	nearest_reference	nearest_reference_family	tree_distance	gene_neighborhood	idrB_present	idrP1_present	idrP2_present	aioB_present	Final_class	Confidence	Evidence_summary	Conflict_flags	target_annotation	neighborhood_notes	Previous_Final_class	Previous_Confidence	B_related_hit	B_related_similarity_or_tree_clade	P_like_count	P_like_hit_ids	gene_order	strand_consistency	neighborhood_completeness	neighborhood_class	synteny_supported_DIRM	strict_synteny_QC_pass	strict_synteny_QC_fail_reasons	A_gene_coordinates	B_gene_coordinates	P_like_1_coordinates	P_like_2_coordinates	classification_update	Joint_reference_evidence_summary
SY456YB-4-8_bin24-k141_314185_12	SY456YB-4-8_bin24	IS	SY456YB	963.4	1383.4	465.4	918.0	Yes	IdrA-HMM higher	IdrA-associated	100/100	VibritapetIdrA	IdrA	0.658138	aioB/aio-like neighborhood	No	No	No	Yes	IdrA-associated phylogenetic lineage	Medium	IdrA-HMM higher; tree=IdrA-associated; nearest_ref=VibritapetIdrA (IdrA); neighborhood=aioB/aio-like neighborhood; nearest_node_support=100/100	IdrA tree/HMM evidence lacks complete idrB-idrP1-idrP2 neighborhood; aioB/arsenite oxidase small subunit detected near an IdrA-associated tree tip	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	-1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	IdrA-associated	Medium	SY456YB-4-8_bin24_SY456YB-4-8_bin24-k141_314185_11	IdrB_related	2	SY456YB-4-8_bin24_SY456YB-4-8_bin24-k141_314185_9;SY456YB-4-8_bin24_SY456YB-4-8_bin24-k141_314185_10	P1like9(+)-P2like10(+)-B11(+)-A12(+)	P1like:+;P2like:+;B:+;A:+	overlapping_support_gene_coordinates	partial DIRM-like neighborhood	no	no	overlapping_support_gene_coordinates	10913-13606(+)	10290-10901(+)	7969-9081(+)	9097-10293(+)	retained_medium_no_strict_complete_DIRM_like_QC	Strict synteny QC did not support a complete A-B-related-P-like-P-like neighborhood (partial DIRM-like neighborhood); reasons: overlapping_support_gene_coordinates.
SY456YB-8-12_bin27-k141_1029503_28	SY456YB-8-12_bin27	IS	SY456YB	997.1	1395.5	461.9	933.6	Yes	IdrA-HMM higher	IdrA-associated	94.2/96	RuegerinterIdrA	IdrA	0.482351	aioB/aio-like neighborhood	No	No	No	Yes	synteny-supported IdrA/DIRM-like neighborhood-associated lineage	High	IdrA-HMM higher; tree=IdrA-associated; nearest_ref=RuegerinterIdrA (IdrA); neighborhood=aioB/aio-like neighborhood; nearest_node_support=94.2/96	IdrA tree/HMM evidence lacks complete idrB-idrP1-idrP2 neighborhood; aioB/arsenite oxidase small subunit detected near an IdrA-associated tree tip	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	IdrA-associated	Medium	SY456YB-8-12_bin27_SY456YB-8-12_bin27-k141_1029503_29	IdrB_related	2	SY456YB-8-12_bin27_SY456YB-8-12_bin27-k141_1029503_30;SY456YB-8-12_bin27_SY456YB-8-12_bin27-k141_1029503_31	A28(-)-B29(-)-P1like30(-)-P2like31(-)	A:-;B:-;P1like:-;P2like:-	strict_QC_pass	complete DIRM-like neighborhood	yes	yes		30367-33045(-)	33057-33638(-)	33659-34810(-)	34831-35952(-)	upgraded_by_strict_A_B_related_P_like_P_like_QC	Strict synteny QC passed: distinct B-related and two distinct P-like CDS are on the same contig, non-overlapping, compactly arranged as A28(-)-B29(-)-P1like30(-)-P2like31(-).
SY456YB-8-12_bin34-k141_963697_76	SY456YB-8-12_bin34	IS	SY456YB	994.2	1396.5	464.0	932.5	Yes	IdrA-HMM higher	IdrA-associated	100/100	RuegerinterIdrA	IdrA	0.494011	aioB/aio-like neighborhood	No	No	No	Yes	synteny-supported IdrA/DIRM-like neighborhood-associated lineage	High	IdrA-HMM higher; tree=IdrA-associated; nearest_ref=RuegerinterIdrA (IdrA); neighborhood=aioB/aio-like neighborhood; nearest_node_support=100/100	IdrA tree/HMM evidence lacks complete idrB-idrP1-idrP2 neighborhood; aioB/arsenite oxidase small subunit detected near an IdrA-associated tree tip	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	-1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	IdrA-associated	Medium	SY456YB-8-12_bin34_SY456YB-8-12_bin34-k141_963697_75	IdrB_related	2	SY456YB-8-12_bin34_SY456YB-8-12_bin34-k141_963697_73;SY456YB-8-12_bin34_SY456YB-8-12_bin34-k141_963697_74	P1like73(+)-P2like74(+)-B75(+)-A76(+)	P1like:+;P2like:+;B:+;A:+	strict_QC_pass	complete DIRM-like neighborhood	yes	yes		79814-82492(+)	79220-79801(+)	76918-78036(+)	78052-79197(+)	upgraded_by_strict_A_B_related_P_like_P_like_QC	Strict synteny QC passed: distinct B-related and two distinct P-like CDS are on the same contig, non-overlapping, compactly arranged as P1like73(+)-P2like74(+)-B75(+)-A76(+).
SY456YB-8-12_bin4-k141_708485_189	SY456YB-8-12_bin4	IS	SY456YB	972.3	1373.4	447.0	926.4	Yes	IdrA-HMM higher	IdrA-associated	99.9/100	RuegerinterIdrA	IdrA	0.402925	aioB/aio-like neighborhood	No	No	No	Yes	synteny-supported IdrA/DIRM-like neighborhood-associated lineage	High	IdrA-HMM higher; tree=IdrA-associated; nearest_ref=RuegerinterIdrA (IdrA); neighborhood=aioB/aio-like neighborhood; nearest_node_support=99.9/100	IdrA tree/HMM evidence lacks complete idrB-idrP1-idrP2 neighborhood; aioB/arsenite oxidase small subunit detected near an IdrA-associated tree tip	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	-1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	IdrA-associated	Medium	SY456YB-8-12_bin4_SY456YB-8-12_bin4-k141_708485_188	IdrB_related	2	SY456YB-8-12_bin4_SY456YB-8-12_bin4-k141_708485_186;SY456YB-8-12_bin4_SY456YB-8-12_bin4-k141_708485_187	P1like186(+)-P2like187(+)-B188(+)-A189(+)	P1like:+;P2like:+;B:+;A:+	strict_QC_pass	complete DIRM-like neighborhood	yes	yes		190825-193500(+)	190224-190808(+)	187917-189038(+)	189057-190211(+)	upgraded_by_strict_A_B_related_P_like_P_like_QC	Strict synteny QC passed: distinct B-related and two distinct P-like CDS are on the same contig, non-overlapping, compactly arranged as P1like186(+)-P2like187(+)-B188(+)-A189(+).
SY456YB-8-12_bin5-k141_222164_2	SY456YB-8-12_bin5	IS	SY456YB	988.2	1386.1	472.5	913.6	Yes	IdrA-HMM higher	IdrA-associated	66/93	RuegerinterIdrA	IdrA	0.380618	aioB/aio-like neighborhood	No	No	No	Yes	IdrA-associated phylogenetic lineage	Medium	IdrA-HMM higher; tree=IdrA-associated; nearest_ref=RuegerinterIdrA (IdrA); neighborhood=aioB/aio-like neighborhood; nearest_node_support=66/93	IdrA tree/HMM evidence lacks complete idrB-idrP1-idrP2 neighborhood; aioB/arsenite oxidase small subunit detected near an IdrA-associated tree tip	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	IdrA-associated	Medium	SY456YB-8-12_bin5_SY456YB-8-12_bin5-k141_222164_3	IdrB_related	1	SY456YB-8-12_bin5_SY456YB-8-12_bin5-k141_222164_4	A2(-)-B3(-)-P1like4(-)	A:-;B:-;P1like:-	fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa	partial DIRM-like neighborhood	no	no	fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa	580-3255(-)	3267-3854(-)	3867-4898(-)	-()	retained_medium_no_strict_complete_DIRM_like_QC	Strict synteny QC did not support a complete A-B-related-P-like-P-like neighborhood (partial DIRM-like neighborhood); reasons: fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa.
SY457BB-0-4_bin2-k141_509701_9	SY457BB-0-4_bin2	IS	SY457BB	965.1	1386.1	470.0	916.1	Yes	IdrA-HMM higher	IdrA-associated	97.8/100	VibritapetIdrA	IdrA	0.640579	aioB/aio-like neighborhood	No	No	No	Yes	IdrA-associated phylogenetic lineage	Medium	IdrA-HMM higher; tree=IdrA-associated; nearest_ref=VibritapetIdrA (IdrA); neighborhood=aioB/aio-like neighborhood; nearest_node_support=97.8/100	IdrA tree/HMM evidence lacks complete idrB-idrP1-idrP2 neighborhood; aioB/arsenite oxidase small subunit detected near an IdrA-associated tree tip	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	-1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	IdrA-associated	Medium	SY457BB-0-4_bin2_SY457BB-0-4_bin2-k141_509701_8	IdrB_related	2	SY457BB-0-4_bin2_SY457BB-0-4_bin2-k141_509701_6;SY457BB-0-4_bin2_SY457BB-0-4_bin2-k141_509701_7	P1like6(+)-P2like7(+)-B8(+)-A9(+)	P1like:+;P2like:+;B:+;A:+	overlapping_support_gene_coordinates	partial DIRM-like neighborhood	no	no	overlapping_support_gene_coordinates	6709-9420(+)	6071-6697(+)	3749-4867(+)	4884-6074(+)	retained_medium_no_strict_complete_DIRM_like_QC	Strict synteny QC did not support a complete A-B-related-P-like-P-like neighborhood (partial DIRM-like neighborhood); reasons: overlapping_support_gene_coordinates.
SY457BB-0-4_bin35-k141_455312_8	SY457BB-0-4_bin35	IS	SY457BB	982.4	1399.6	455.5	944.1	Yes	IdrA-HMM higher	IdrA-associated	75.3/99	RuegerinterIdrA	IdrA	0.0895	aioB/aio-like neighborhood	No	No	No	Yes	synteny-supported IdrA/DIRM-like neighborhood-associated lineage	High	IdrA-HMM higher; tree=IdrA-associated; nearest_ref=RuegerinterIdrA (IdrA); neighborhood=aioB/aio-like neighborhood; nearest_node_support=75.3/99	IdrA tree/HMM evidence lacks complete idrB-idrP1-idrP2 neighborhood; aioB/arsenite oxidase small subunit detected near an IdrA-associated tree tip	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	-1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	IdrA-associated	Medium	SY457BB-0-4_bin35_SY457BB-0-4_bin35-k141_455312_7	IdrB_related	2	SY457BB-0-4_bin35_SY457BB-0-4_bin35-k141_455312_4;SY457BB-0-4_bin35_SY457BB-0-4_bin35-k141_455312_6	P1like4(+)-P2like6(+)-B7(+)-A8(+)	P1like:+;P2like:+;B:+;A:+	strict_QC_pass	complete DIRM-like neighborhood	yes	yes		6522-9200(+)	5931-6503(+)	3610-4725(+)	5007-5918(+)	upgraded_by_strict_A_B_related_P_like_P_like_QC	Strict synteny QC passed: distinct B-related and two distinct P-like CDS are on the same contig, non-overlapping, compactly arranged as P1like4(+)-P2like6(+)-B7(+)-A8(+).
SY457BB-0-4_bin6-k141_196093_82	SY457BB-0-4_bin6	IS	SY457BB	989.2	1391.3	463.4	927.9	Yes	IdrA-HMM higher	IdrA-associated	100/100	RuegerinterIdrA	IdrA	0.373916	aioB/aio-like neighborhood	No	No	No	Yes	synteny-supported IdrA/DIRM-like neighborhood-associated lineage	High	IdrA-HMM higher; tree=IdrA-associated; nearest_ref=RuegerinterIdrA (IdrA); neighborhood=aioB/aio-like neighborhood; nearest_node_support=100/100	IdrA tree/HMM evidence lacks complete idrB-idrP1-idrP2 neighborhood; aioB/arsenite oxidase small subunit detected near an IdrA-associated tree tip	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	-1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	IdrA-associated	Medium	SY457BB-0-4_bin6_SY457BB-0-4_bin6-k141_196093_81	IdrB_related	2	SY457BB-0-4_bin6_SY457BB-0-4_bin6-k141_196093_79;SY457BB-0-4_bin6_SY457BB-0-4_bin6-k141_196093_80	P1like79(+)-P2like80(+)-B81(+)-A82(+)	P1like:+;P2like:+;B:+;A:+	strict_QC_pass	complete DIRM-like neighborhood	yes	yes		90938-93613(+)	90338-90925(+)	87987-89162(+)	89173-90324(+)	upgraded_by_strict_A_B_related_P_like_P_like_QC	Strict synteny QC passed: distinct B-related and two distinct P-like CDS are on the same contig, non-overlapping, compactly arranged as P1like79(+)-P2like80(+)-B81(+)-A82(+).
SY457BB-4-8_bin29-k141_12975_7	SY457BB-4-8_bin29	IS	SY457BB	982.2	1383.8	450.2	933.6	Yes	IdrA-HMM higher	IdrA-associated	90.9/38	RuegerinterIdrA	IdrA	0.475613	aioB/aio-like neighborhood	No	No	No	Yes	synteny-supported IdrA/DIRM-like neighborhood-associated lineage	High	IdrA-HMM higher; tree=IdrA-associated; nearest_ref=RuegerinterIdrA (IdrA); neighborhood=aioB/aio-like neighborhood; nearest_node_support=90.9/38	IdrA tree/HMM evidence lacks complete idrB-idrP1-idrP2 neighborhood; aioB/arsenite oxidase small subunit detected near an IdrA-associated tree tip	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	-1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	IdrA-associated	Medium	SY457BB-4-8_bin29_SY457BB-4-8_bin29-k141_12975_6	IdrB_related	2	SY457BB-4-8_bin29_SY457BB-4-8_bin29-k141_12975_4;SY457BB-4-8_bin29_SY457BB-4-8_bin29-k141_12975_5	P1like4(+)-P2like5(+)-B6(+)-A7(+)	P1like:+;P2like:+;B:+;A:+	strict_QC_pass	complete DIRM-like neighborhood	yes	yes		7478-10156(+)	6890-7465(+)	4593-5711(+)	5726-6868(+)	upgraded_by_strict_A_B_related_P_like_P_like_QC	Strict synteny QC passed: distinct B-related and two distinct P-like CDS are on the same contig, non-overlapping, compactly arranged as P1like4(+)-P2like5(+)-B6(+)-A7(+).
SY457BB-4-8_bin33-k141_110702_26	SY457BB-4-8_bin33	IS	SY457BB	989.2	1390.6	467.3	923.3	Yes	IdrA-HMM higher	IdrA-associated	66/93	RuegerinterIdrA	IdrA	0.413966	aioB/aio-like neighborhood	No	No	No	Yes	synteny-supported IdrA/DIRM-like neighborhood-associated lineage	High	IdrA-HMM higher; tree=IdrA-associated; nearest_ref=RuegerinterIdrA (IdrA); neighborhood=aioB/aio-like neighborhood; nearest_node_support=66/93	IdrA tree/HMM evidence lacks complete idrB-idrP1-idrP2 neighborhood; aioB/arsenite oxidase small subunit detected near an IdrA-associated tree tip	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	IdrA-associated	Medium	SY457BB-4-8_bin33_SY457BB-4-8_bin33-k141_110702_27	IdrB_related	2	SY457BB-4-8_bin33_SY457BB-4-8_bin33-k141_110702_28;SY457BB-4-8_bin33_SY457BB-4-8_bin33-k141_110702_29	A26(-)-B27(-)-P1like28(-)-P2like29(-)	A:-;B:-;P1like:-;P2like:-	strict_QC_pass	complete DIRM-like neighborhood	yes	yes		26419-29094(-)	29106-29693(-)	29707-30864(-)	30875-31981(-)	upgraded_by_strict_A_B_related_P_like_P_like_QC	Strict synteny QC passed: distinct B-related and two distinct P-like CDS are on the same contig, non-overlapping, compactly arranged as A26(-)-B27(-)-P1like28(-)-P2like29(-).
SY457BB-8-12_bin10-k141_377897_3	SY457BB-8-12_bin10	IS	SY457BB	981.5	1381.5	452.3	929.2	Yes	IdrA-HMM higher	IdrA-associated	86.3/55	RuegerinterIdrA	IdrA	0.432431	aioB/aio-like neighborhood	No	No	No	Yes	IdrA-associated phylogenetic lineage	Medium	IdrA-HMM higher; tree=IdrA-associated; nearest_ref=RuegerinterIdrA (IdrA); neighborhood=aioB/aio-like neighborhood; nearest_node_support=86.3/55	IdrA tree/HMM evidence lacks complete idrB-idrP1-idrP2 neighborhood; aioB/arsenite oxidase small subunit detected near an IdrA-associated tree tip	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	-1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	IdrA-associated	Medium	SY457BB-8-12_bin10_SY457BB-8-12_bin10-k141_377897_2	IdrB_related	0		B2(+)-A3(+)	B:+;A:+	fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa	partial DIRM-like neighborhood	no	no	fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa	828-3506(+)	237-815(+)	-()	-()	retained_medium_no_strict_complete_DIRM_like_QC	Strict synteny QC did not support a complete A-B-related-P-like-P-like neighborhood (partial DIRM-like neighborhood); reasons: fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa.
SY457BB-8-12_bin15-k141_1498167_38	SY457BB-8-12_bin15	IS	SY457BB	994.3	1395.4	462.7	932.7	Yes	IdrA-HMM higher	IdrA-associated	99.5/100	RuegerinterIdrA	IdrA	0.491015	aioB/aio-like neighborhood	No	No	No	Yes	synteny-supported IdrA/DIRM-like neighborhood-associated lineage	High	IdrA-HMM higher; tree=IdrA-associated; nearest_ref=RuegerinterIdrA (IdrA); neighborhood=aioB/aio-like neighborhood; nearest_node_support=99.5/100	IdrA tree/HMM evidence lacks complete idrB-idrP1-idrP2 neighborhood; aioB/arsenite oxidase small subunit detected near an IdrA-associated tree tip	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	IdrA-associated	Medium	SY457BB-8-12_bin15_SY457BB-8-12_bin15-k141_1498167_39	IdrB_related	2	SY457BB-8-12_bin15_SY457BB-8-12_bin15-k141_1498167_40;SY457BB-8-12_bin15_SY457BB-8-12_bin15-k141_1498167_41	A38(-)-B39(-)-P1like40(-)-P2like41(-)	A:-;B:-;P1like:-;P2like:-	strict_QC_pass	complete DIRM-like neighborhood	yes	yes		34524-37202(-)	37215-37796(-)	37817-38959(-)	38975-40168(-)	upgraded_by_strict_A_B_related_P_like_P_like_QC	Strict synteny QC passed: distinct B-related and two distinct P-like CDS are on the same contig, non-overlapping, compactly arranged as A38(-)-B39(-)-P1like40(-)-P2like41(-).
SY457BB-8-12_bin16-k141_1142550_1	SY457BB-8-12_bin16	IS	SY457BB	992.4	1394.8	460.0	934.8	Yes	IdrA-HMM higher	IdrA-associated	88.3/100	RuegerinterIdrA	IdrA	0.506226	no idrB/idrP1/idrP2/aioB detected in DRAM +/-10 annotations	No	No	No	No	IdrA-associated phylogenetic lineage	Medium	IdrA-HMM higher; tree=IdrA-associated; nearest_ref=RuegerinterIdrA (IdrA); neighborhood=no idrB/idrP1/idrP2/aioB detected in DRAM +/-10 annotations; nearest_node_support=88.3/100	IdrA tree/HMM evidence lacks complete idrB-idrP1-idrP2 neighborhood	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	IdrA-associated	Medium			0		A1(+)	A:+	missing_B_related_hit;fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa;B_length_outside_50_350aa;support_genes_not_compact_max_gap_gt3	unresolved/truncated neighborhood	no	no	missing_B_related_hit;fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa;B_length_outside_50_350aa;support_genes_not_compact_max_gap_gt3	3-2687(+)	-()	-()	-()	retained_medium_no_strict_complete_DIRM_like_QC	Strict synteny QC did not support a complete A-B-related-P-like-P-like neighborhood (unresolved/truncated neighborhood); reasons: missing_B_related_hit;fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa;B_length_outside_50_350aa;support_genes_not_compact_max_gap_gt3.
SY457BB-8-12_bin25-k141_129537_12	SY457BB-8-12_bin25	IS	SY457BB	990.7	1388.8	462.2	926.6	Yes	IdrA-HMM higher	IdrA-associated	90.9/42	RuegerinterIdrA	IdrA	0.48322	aioB/aio-like neighborhood	No	No	No	Yes	synteny-supported IdrA/DIRM-like neighborhood-associated lineage	High	IdrA-HMM higher; tree=IdrA-associated; nearest_ref=RuegerinterIdrA (IdrA); neighborhood=aioB/aio-like neighborhood; nearest_node_support=90.9/42	IdrA tree/HMM evidence lacks complete idrB-idrP1-idrP2 neighborhood; aioB/arsenite oxidase small subunit detected near an IdrA-associated tree tip	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	-1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	IdrA-associated	Medium	SY457BB-8-12_bin25_SY457BB-8-12_bin25-k141_129537_11	IdrB_related	2	SY457BB-8-12_bin25_SY457BB-8-12_bin25-k141_129537_9;SY457BB-8-12_bin25_SY457BB-8-12_bin25-k141_129537_10	P1like9(+)-P2like10(+)-B11(+)-A12(+)	P1like:+;P2like:+;B:+;A:+	strict_QC_pass	complete DIRM-like neighborhood	yes	yes		10289-12967(+)	9710-10276(+)	7415-8536(+)	8552-9685(+)	upgraded_by_strict_A_B_related_P_like_P_like_QC	Strict synteny QC passed: distinct B-related and two distinct P-like CDS are on the same contig, non-overlapping, compactly arranged as P1like9(+)-P2like10(+)-B11(+)-A12(+).
SY457BB-8-12_bin4-k141_1432391_5	SY457BB-8-12_bin4	IS	SY457BB	991.0	1391.3	460.2	931.1	Yes	IdrA-HMM higher	IdrA-associated	99.5/98	RuegerinterIdrA	IdrA	0.441605	aioB/aio-like neighborhood	No	No	No	Yes	synteny-supported IdrA/DIRM-like neighborhood-associated lineage	High	IdrA-HMM higher; tree=IdrA-associated; nearest_ref=RuegerinterIdrA (IdrA); neighborhood=aioB/aio-like neighborhood; nearest_node_support=99.5/98	IdrA tree/HMM evidence lacks complete idrB-idrP1-idrP2 neighborhood; aioB/arsenite oxidase small subunit detected near an IdrA-associated tree tip	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	-1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	IdrA-associated	Medium	SY457BB-8-12_bin4_SY457BB-8-12_bin4-k141_1432391_4	IdrB_related	2	SY457BB-8-12_bin4_SY457BB-8-12_bin4-k141_1432391_2;SY457BB-8-12_bin4_SY457BB-8-12_bin4-k141_1432391_3	P1like2(+)-P2like3(+)-B4(+)-A5(+)	P1like:+;P2like:+;B:+;A:+	strict_QC_pass	complete DIRM-like neighborhood	yes	yes		3548-6226(+)	2954-3535(+)	656-1777(+)	1789-2931(+)	upgraded_by_strict_A_B_related_P_like_P_like_QC	Strict synteny QC passed: distinct B-related and two distinct P-like CDS are on the same contig, non-overlapping, compactly arranged as P1like2(+)-P2like3(+)-B4(+)-A5(+).
SY459WG-0-4_bin26-k141_460220_2	SY459WG-0-4_bin26	IS	SY459WG	787.4	856.7	481.0	375.7	Yes	IdrA-HMM higher	Unknown-clade-associated	100/100	ISMEJFig5|Unknown_clade|MBT97654.1|Dehalococcoidia_bacterium	Unknown_clade	1.361689	aioB/aio-like neighborhood	No	No	No	Yes	unknown/uncertain DMSOR	Medium	IdrA-HMM higher; tree=Unknown-clade-associated; nearest_ref=ISMEJFig5|Unknown_clade|MBT97654.1|Dehalococcoidia_bacterium (Unknown_clade); neighborhood=aioB/aio-like neighborhood; nearest_node_support=100/100		rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	-1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	unknown/uncertain DMSOR	Medium	SY459WG-0-4_bin26_SY459WG-0-4_bin26-k141_460220_1	IdrB_related	0		B1(+)-A2(+)	B:+;A:+	fewer_than_two_distinct_P_like_genes;overlapping_support_gene_coordinates;P_like_length_outside_150_700aa	partial DIRM-like neighborhood	no	no	fewer_than_two_distinct_P_like_genes;overlapping_support_gene_coordinates;P_like_length_outside_150_700aa	543-3044(+)	1-546(+)	-()	-()	retained_unknown_tree_boundary	Strict synteny QC did not support a complete A-B-related-P-like-P-like neighborhood (partial DIRM-like neighborhood); reasons: fewer_than_two_distinct_P_like_genes;overlapping_support_gene_coordinates;P_like_length_outside_150_700aa.
SY459WG-0-4_bin37-k141_569169_31	SY459WG-0-4_bin37	IS	SY459WG	994.7	1391.1	470.3	920.8	Yes	IdrA-HMM higher	IdrA-associated	86.9/99	RuegerinterIdrA	IdrA	0.427878	aioB/aio-like neighborhood	No	No	No	Yes	synteny-supported IdrA/DIRM-like neighborhood-associated lineage	High	IdrA-HMM higher; tree=IdrA-associated; nearest_ref=RuegerinterIdrA (IdrA); neighborhood=aioB/aio-like neighborhood; nearest_node_support=86.9/99	IdrA tree/HMM evidence lacks complete idrB-idrP1-idrP2 neighborhood; aioB/arsenite oxidase small subunit detected near an IdrA-associated tree tip	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	IdrA-associated	Medium	SY459WG-0-4_bin37_SY459WG-0-4_bin37-k141_569169_32	IdrB_related	2	SY459WG-0-4_bin37_SY459WG-0-4_bin37-k141_569169_33;SY459WG-0-4_bin37_SY459WG-0-4_bin37-k141_569169_34	A31(-)-B32(-)-P1like33(-)-P2like34(-)	A:-;B:-;P1like:-;P2like:-	strict_QC_pass	complete DIRM-like neighborhood	yes	yes		31747-34425(-)	34440-35021(-)	35043-36179(-)	36194-37312(-)	upgraded_by_strict_A_B_related_P_like_P_like_QC	Strict synteny QC passed: distinct B-related and two distinct P-like CDS are on the same contig, non-overlapping, compactly arranged as A31(-)-B32(-)-P1like33(-)-P2like34(-).
