user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
SY457BB-8-12_bin15	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__JAAEUB01;s__	N/A	N/A	N/A	N/A	N/A	GCA_030625565.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__JAAEUB01;s__JAAEUB01 sp030625565	84.22	0.358	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__JAAEUB01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	87.31	11	0.97246	N/A
SY457BB-8-12_bin16	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__JAAEUB01;s__JAAEUB01 sp030625565	GCA_030625565.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__JAAEUB01;s__JAAEUB01 sp030625565	99.0	0.854	GCA_030625565.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__JAAEUB01;s__JAAEUB01 sp030625565	99.0	0.854	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__JAAEUB01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	65.63	11	N/A	N/A
SY457BB-8-12_bin25	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__UBA3077;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__UBA3077;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	61.32	11	0.94462	N/A
SY457BB-8-12_bin4	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__NORP23;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__NORP23;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	80.0	11	0.93945	N/A
SY459WG-0-4_bin26	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__UBA5794;f__UBA5794;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__UBA5794;f__UBA5794;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	47.7	11	0.87949	N/A
SY459WG-0-4_bin37	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__NORP23;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__NORP23;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	81.02	11	0.91771	N/A
SY459WG-4-8_bin39	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Poriferisodalaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Poriferisodalaceae;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	94.02	11	0.81855	N/A
SY459WG-4-8_bin8	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Arenicellales;f__Poriferihabitantaceae;g__JAAELZ01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Arenicellales;f__Poriferihabitantaceae;g__JAAELZ01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	87.19	11	0.96798	N/A
SY459WG-8-12_bin19	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__SZUA-100;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__SZUA-100;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	88.84	11	0.92412	N/A
SY459WG-8-12_bin2	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Profundibacter;s__	N/A	N/A	N/A	N/A	N/A	GCA_002732995.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Profundibacter;s__Profundibacter sp002732995	83.21	0.298	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Profundibacter;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_002352425.1, s__Profundibacter sp002352425, 95.0, 80.41, 0.185; GCF_003544895.1, s__Profundibacter amoris, 95.0, 79.5, 0.157; GCA_033851955.1, s__Profundibacter sp033851955, 95.0, 79.32, 0.155	95.37	11	0.96674	N/A
